"hw1","hw2","hw3","hw4","hw5","final"
98,100,71,73,90,78
96,82,84,99,48,80
100,100,100,93,83,82
65,80,40,83,89,59
83,97,26,71,100,95
100,100,80,100,100,89
80,92,60,59,83,63
87,85,68,79,100,92
89,88,77,91,100,87
78,87,74,75,100,92
100,99,75,96,100,95
92,96,58,77,97,85
98,100,100,88,56,100
100,100,90,78,83,93
93,80,77,72,100,96
92,100,70,73,100,97
72,74,56,87,87,52
97,96,71,89,69,95
92,87,96,40,65,86
81,78,76,56,100,66
99,90,100,75,100,100
87,92,43,87,98,62
90,100,72,94,100,91
100,100,79,50,100,79
76,72,46,55,64,67
70,88,30,32,48,55
81,98,42,75,88,74
100,100,100,94,90,100
88,95,71,91,94,77
78,75,45,77,91,69
90,91,54,46,41,57
81,98,61,45,82,98
100,100,87,66,100,99
100,100,98,96,40,100
94,100,77,44,68,82
100,100,68,76,66,100
93,99,57,100,100,78
81,84,81,62,100,80
88,88,48,86,100,91
94,100,74,71,89,86
78,75,44,60,67,85
84,86,48,58,100,63
76,99,52,86,100,86
71,100,58,59,47,60
88,92,65,82,67,99
100,100,84,79,97,100
100,100,100,96,100,87
100,100,100,93,92,92
96,88,46,56,100,64
90,100,85,49,100,100
86,92,100,59,86,87
92,86,73,100,100,79
85,95,72,64,87,70
84,100,70,92,63,86
100,100,73,100,100,69
87,92,76,63,100,76
99,97,68,36,100,93
78,73,61,41,82,70
76,59,97,44,100,68
100,93,100,54,100,63
83,93,56,61,48,78
90,100,87,46,95,95
81,100,46,47,100,84
80,76,31,40,91,70
67,68,52,80,100,58
78,89,65,41,98,61
84,84,62,74,92,77
79,100,96,87,50,100
100,100,92,100,92,100
97,92,79,57,100,92
100,100,90,100,100,100
100,100,81,100,100,98
100,97,61,97,58,59
80,92,65,100,100,76
94,75,60,66,80,84
82,92,58,100,100,69
100,100,70,61,58,96
93,79,55,33,62,84
76,91,32,23,79,63
87,96,84,64,83,98
85,84,43,81,89,88
89,93,64,71,99,99
92,100,76,64,100,82
58,100,27,42,58,53
98,86,49,71,90,75
69,67,52,94,64,74
71,78,37,59,16,49
75,78,42,61,71,56
87,80,62,36,41,74
91,87,73,93,97,90
100,100,71,100,100,95
92,100,64,91,100,92
76,77,72,96,82,79
93,94,53,89,70,95
99,100,61,62,87,83
60,63,70,59,84,64
95,97,52,32,43,61
80,72,69,100,62,81
100,100,100,98,65,97
99,100,81,100,100,93
